user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
CCGPMC024d_JNA_AS_CCGP125_S128_L001_R.bin.3	d__Archaea;p__Asgardarchaeota;c__Wukongarchaeia;o__;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_016840425.1	95.0	d__Archaea;p__Asgardarchaeota;c__Wukongarchaeia;o__Wukongarchaeales;f__Wukongarchaeaceae;g__Wukongarchaeum;s__Wukongarchaeum yapensis	74.46	0.01	d__Archaea;p__Asgardarchaeota;c__;o__;f__;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	23.93	4	0.4241553604689655	N/A
CCGPMC024d_JNA_AS_CCGP126_S127_L001_R.bin.5	Unclassified Archaea	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (1.5%)
CCGPMC024d_JNA_AS_CCGP126_S127_L001_R.bin.7	d__Archaea;p__Asgardarchaeota;c__Wukongarchaeia;o__;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_016840425.1	95.0	d__Archaea;p__Asgardarchaeota;c__Wukongarchaeia;o__Wukongarchaeales;f__Wukongarchaeaceae;g__Wukongarchaeum;s__Wukongarchaeum yapensis	74.57	0.01	d__Archaea;p__Asgardarchaeota;c__;o__;f__;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	21.51	4	0.40544345090802	N/A
CCGPMC024d_JNA_AS_CCGP126_S127_L001_R.bin.9	Unclassified Archaea	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (0.6%)
CCGPMC024d_JNA_AS_CCGP127_S126_L001_R.bin.10	Unclassified Archaea	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (0.5%)
CCGPMC024d_JNA_AS_CCGP127_S126_L001_R.bin.2	Unclassified Archaea	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (0.6%)
CCGPMC024d_JNA_AS_CCGP127_S126_L001_R.bin.4	Unclassified Archaea	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (9.9%)
CCGPMC024d_JNA_AS_CCGP127_S126_L001_R.bin.8	d__Archaea;p__Thermoproteota;c__Korarchaeia;o__;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Thermoproteota;c__Korarchaeia;o__;f__;g__;s__	taxonomic novelty determined using RED	N/A	N/A	14.78	4	0.33526557166491844	Genome domain questionable ( 10.8% Bacterial, 20.8% Archaeal)
CCGPMC024d_JNA_AS_CCGP128_S125_L001_R.bin.1	d__Archaea;p__Thermoproteota;c__Korarchaeia;o__;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_011041895.1	95.0	d__Archaea;p__Thermoproteota;c__Korarchaeia;o__DRAE01;f__DRAE01;g__DRAE01;s__DRAE01 sp011041895	74.53	0.01	d__Archaea;p__Thermoproteota;c__Korarchaeia;o__;f__;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	12.36	4	0.36790753488327016	Genome domain questionable ( 15.0% Bacterial, 24.5% Archaeal)
CCGPMC024d_JNA_AS_CCGP128_S125_L001_R.bin.2	d__Archaea;p__Thermoproteota;c__Korarchaeia;o__;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_011041895.1	95.0	d__Archaea;p__Thermoproteota;c__Korarchaeia;o__DRAE01;f__DRAE01;g__DRAE01;s__DRAE01 sp011041895	74.41	0.0	d__Archaea;p__Thermoproteota;c__Korarchaeia;o__;f__;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	21.55	4	0.38193958598892713	N/A
CCGPMC024d_JNA_AS_CCGP128_S125_L001_R.bin.3	Unclassified Archaea	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (2.7%)
CCGPMC024d_JNA_AS_CCGP129_S124_L001_R.bin.1	Unclassified Archaea	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (7.6%)
CCGPMC024d_JNA_AS_CCGP129_S124_L001_R.bin.3	Unclassified Archaea	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (0.6%)
CCGPMC024d_JNA_AS_CCGP129_S124_L001_R.bin.8	d__Archaea;p__Asgardarchaeota;c__Wukongarchaeia;o__;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_016840425.1	95.0	d__Archaea;p__Asgardarchaeota;c__Wukongarchaeia;o__Wukongarchaeales;f__Wukongarchaeaceae;g__Wukongarchaeum;s__Wukongarchaeum yapensis	74.5	0.01	d__Archaea;p__Asgardarchaeota;c__;o__;f__;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	12.5	4	0.40432811524539647	Genome domain questionable ( 11.7% Bacterial, 20.8% Archaeal)
CCGPMC024d_JNA_AS_CCGP130_S123_L001_R.bin.1	Unclassified Archaea	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (6.8%)
CCGPMC024d_JNA_AS_CCGP130_S123_L001_R.bin.10	Unclassified Archaea	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (6.2%)
CCGPMC024d_JNA_AS_CCGP130_S123_L001_R.bin.3	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__Hodarchaeales;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_016840025.1	95.0	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__Hodarchaeales;f__YT1-039;g__YT1-039;s__YT1-039 sp016840025	74.56	0.0	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__Hodarchaeales;f__;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	12.25	4	0.6081976258305417	N/A
CCGPMC024d_JNA_AS_CCGP131_S122_L001_R.bin.9	d__Archaea;p__Thermoproteota;c__Korarchaeia;o__;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_011041895.1	95.0	d__Archaea;p__Thermoproteota;c__Korarchaeia;o__DRAE01;f__DRAE01;g__DRAE01;s__DRAE01 sp011041895	74.7	0.0	d__Archaea;p__Thermoproteota;c__Korarchaeia;o__;f__;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	23.26	4	0.36562309741755034	N/A
CCGPMC024d_JNA_AS_CCGP132_S121_L001_R.bin.1	Unclassified Archaea	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (4.5%)
CCGPMC024d_JNA_AS_CCGP132_S121_L001_R.bin.13	Unclassified Archaea	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (8.0%)
CCGPMC024d_JNA_AS_CCGP133_S120_L001_R.bin.4	Unclassified Archaea	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (7.7%)
CCGPMC024d_JNA_AS_CCGP133_S120_L001_R.bin.5	Unclassified Archaea	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (1.4%)
CCGPMC024d_JNA_AS_CCGP134_S119_L001_R.bin.4	Unclassified Archaea	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (0.8%)
CCGPMC024d_JNA_AS_CCGP134_S119_L001_R.bin.5	Unclassified Archaea	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (0.6%)
CCGPMC024d_JNA_AS_CCGP134_S119_L001_R.bin.6	d__Archaea;p__Thermoproteota;c__Korarchaeia;o__;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Thermoproteota;c__Korarchaeia;o__;f__;g__;s__	taxonomic novelty determined using RED	N/A	N/A	13.78	4	0.3642569313287769	N/A
CCGPMC024d_JNA_AS_CCGP134_S119_L001_R.bin.8	Unclassified Archaea	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (1.0%)
CCGPMC024d_JNA_AS_CCGP135_S118_L001_R.bin.11	d__Archaea;p__Thermoproteota;c__Korarchaeia;o__;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_011041895.1	95.0	d__Archaea;p__Thermoproteota;c__Korarchaeia;o__DRAE01;f__DRAE01;g__DRAE01;s__DRAE01 sp011041895	74.65	0.0	d__Archaea;p__Thermoproteota;c__Korarchaeia;o__;f__;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	20.29	4	0.37428036459175074	N/A
CCGPMC024d_JNA_AS_CCGP135_S118_L001_R.bin.9	Unclassified Archaea	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (7.1%)
CCGPMC024d_JNA_AS_CCGP136_S117_L001_R.bin.2	Unclassified Archaea	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (3.0%)
CCGPMC024d_JNA_AS_CCGP136_S117_L001_R.bin.9	d__Archaea;p__Asgardarchaeota;c__LC30;o__;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_019058495.1	95.0	d__Archaea;p__Asgardarchaeota;c__LC30;o__LC30;f__LC30;g__LC30;s__LC30 sp019058495	74.68	0.0	d__Archaea;p__Asgardarchaeota;c__;o__;f__;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	13.72	4	0.36831406876204625	Genome domain questionable ( 10.8% Bacterial, 17.0% Archaeal)
CCGPMC024d_JNA_AS_CCGP137_S116_L001_R.bin.12	d__Archaea;p__Asgardarchaeota;c__LC30;o__;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_019058495.1	95.0	d__Archaea;p__Asgardarchaeota;c__LC30;o__LC30;f__LC30;g__LC30;s__LC30 sp019058495	74.52	0.0	d__Archaea;p__Asgardarchaeota;c__;o__;f__;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	16.93	4	0.3751690013276831	Genome domain questionable ( 10.0% Bacterial, 18.9% Archaeal)
CCGPMC024d_JNA_AS_CCGP137_S116_L001_R.bin.18	Unclassified Archaea	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (0.8%)
CCGPMC024d_JNA_AS_CCGP137_S116_L001_R.bin.4	Unclassified Archaea	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (1.8%)
CCGPMC024d_JNA_AS_CCGP139_S114_L001_R.bin.1	Unclassified Archaea	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (0.4%)
CCGPMC024d_JNA_AS_CCGP139_S114_L001_R.bin.3	Unclassified Archaea	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (1.5%)
CCGPMC024d_JNA_AS_CCGP139_S114_L001_R.bin.7	d__Archaea;p__Asgardarchaeota;c__Wukongarchaeia;o__;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_016840425.1	95.0	d__Archaea;p__Asgardarchaeota;c__Wukongarchaeia;o__Wukongarchaeales;f__Wukongarchaeaceae;g__Wukongarchaeum;s__Wukongarchaeum yapensis	74.61	0.01	d__Archaea;p__Asgardarchaeota;c__;o__;f__;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	19.81	4	0.41415922390491466	N/A
CCGPMC024d_JNA_AS_CCGP139_S114_L001_R.bin.8	Unclassified Archaea	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (2.0%)
CCGPMC024d_JNA_AS_CCGP139_S114_L001_R.bin.9	Unclassified Archaea	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (4.1%)
CCGPMC024d_JNA_AS_CCGP140_S113_L001_R.bin.7	d__Archaea;p__Asgardarchaeota;c__Wukongarchaeia;o__;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_016840425.1	95.0	d__Archaea;p__Asgardarchaeota;c__Wukongarchaeia;o__Wukongarchaeales;f__Wukongarchaeaceae;g__Wukongarchaeum;s__Wukongarchaeum yapensis	74.56	0.01	d__Archaea;p__Asgardarchaeota;c__;o__;f__;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	24.89	4	0.4328566651884971	N/A
CCGPMC024d_JNA_AS_CCGP95_S158_L001_R.bin.11	d__Archaea;p__Asgardarchaeota;c__Wukongarchaeia;o__;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_016840425.1	95.0	d__Archaea;p__Asgardarchaeota;c__Wukongarchaeia;o__Wukongarchaeales;f__Wukongarchaeaceae;g__Wukongarchaeum;s__Wukongarchaeum yapensis	74.55	0.01	d__Archaea;p__Asgardarchaeota;c__;o__;f__;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	23.59	4	0.4147087259412713	N/A
CCGPMC024d_JNA_AS_CCGP95_S158_L001_R.bin.2	Unclassified Archaea	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (0.7%)
CCGPMC024d_JNA_AS_CCGP95_S158_L001_R.bin.3	Unclassified Archaea	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (0.9%)
CCGPMC024d_JNA_AS_CCGP96_S157_L001_R.bin.2	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__;f__;g__;s__	taxonomic novelty determined using RED	N/A	N/A	21.56	4	0.42187096284334347	N/A
CCGPMC024d_JNA_AS_CCGP96_S157_L001_R.bin.4	Unclassified Archaea	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (1.1%)
CCGPMC024d_JNA_AS_CCGP97_S156_L001_R.bin.2	Unclassified Archaea	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (1.1%)
CCGPMC024d_JNA_AS_CCGP97_S156_L001_R.bin.3	Unclassified Archaea	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (1.3%)
CCGPMC024d_JNA_AS_CCGP97_S156_L001_R.bin.4	d__Archaea;p__Asgardarchaeota;c__Wukongarchaeia;o__Wukongarchaeales;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_016840425.1	95.0	d__Archaea;p__Asgardarchaeota;c__Wukongarchaeia;o__Wukongarchaeales;f__Wukongarchaeaceae;g__Wukongarchaeum;s__Wukongarchaeum yapensis	74.52	0.01	d__Archaea;p__Asgardarchaeota;c__;o__;f__;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	19.26	4	0.4433361162381157	Genome domain questionable ( 19.2% Bacterial, 28.3% Archaeal)
CCGPMC024d_JNA_AS_CCGP97_S156_L001_R.bin.5	Unclassified Archaea	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (0.6%)
CCGPMC024d_JNA_AS_CCGP98_S155_L001_R.bin.10	Unclassified Archaea	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (1.3%)
CCGPMC024d_JNA_AS_CCGP98_S155_L001_R.bin.4	Unclassified Archaea	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (5.6%)
CCGPMC024d_JNA_AS_CCGP98_S155_L001_R.bin.5	d__Archaea;p__Thermoproteota;c__Korarchaeia;o__;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_011041895.1	95.0	d__Archaea;p__Thermoproteota;c__Korarchaeia;o__DRAE01;f__DRAE01;g__DRAE01;s__DRAE01 sp011041895	74.55	0.01	d__Archaea;p__Thermoproteota;c__Korarchaeia;o__;f__;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	21.7	4	0.3869892490581613	N/A
CCGPMC024d_JNA_AS_CCGP99_S154_L001_R.bin.3	Unclassified Archaea	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (2.3%)
CCGPMC024d_JNA_AS_CCGP99_S154_L001_R.bin.7	d__Archaea;p__Asgardarchaeota;c__Wukongarchaeia;o__;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_016840425.1	95.0	d__Archaea;p__Asgardarchaeota;c__Wukongarchaeia;o__Wukongarchaeales;f__Wukongarchaeaceae;g__Wukongarchaeum;s__Wukongarchaeum yapensis	74.51	0.01	d__Archaea;p__Asgardarchaeota;c__;o__;f__;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	19.15	4	0.4091276550211511	Genome domain questionable ( 18.3% Bacterial, 28.3% Archaeal)
CCGPMC024d_JNA_AS_CCGP99_S154_L001_R.bin.9	Unclassified Archaea	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (3.2%)
CCGPMC025c_JNA_AS_CCGP00_S254_L002_R.bin.10	Unclassified Archaea	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (5.0%)
CCGPMC025c_JNA_AS_CCGP00_S254_L002_R.bin.2	d__Archaea;p__Thermoproteota;c__Korarchaeia;o__;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_011041895.1	95.0	d__Archaea;p__Thermoproteota;c__Korarchaeia;o__DRAE01;f__DRAE01;g__DRAE01;s__DRAE01 sp011041895	74.52	0.01	d__Archaea;p__Thermoproteota;c__Korarchaeia;o__;f__;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	19.87	4	0.3831178185200929	N/A
CCGPMC025c_JNA_AS_CCGP00_S254_L002_R.bin.7	Unclassified Archaea	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (0.5%)
CCGPMC025c_JNA_AS_CCGP01_S253_L002_R.bin.13	Unclassified Archaea	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (0.6%)
CCGPMC025c_JNA_AS_CCGP01_S253_L002_R.bin.4	Unclassified Archaea	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (0.6%)
CCGPMC025c_JNA_AS_CCGP01_S253_L002_R.bin.6	d__Archaea;p__Thermoproteota;c__Korarchaeia;o__;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_011041895.1	95.0	d__Archaea;p__Thermoproteota;c__Korarchaeia;o__DRAE01;f__DRAE01;g__DRAE01;s__DRAE01 sp011041895	74.38	0.0	d__Archaea;p__Thermoproteota;c__Korarchaeia;o__;f__;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	20.95	4	0.4007703576193336	N/A
CCGPMC025c_JNA_AS_CCGP02_S252_L002_R.bin.1	d__Archaea;p__Thermoproteota;c__Korarchaeia;o__;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_011041895.1	95.0	d__Archaea;p__Thermoproteota;c__Korarchaeia;o__DRAE01;f__DRAE01;g__DRAE01;s__DRAE01 sp011041895	74.45	0.01	d__Archaea;p__Thermoproteota;c__Korarchaeia;o__;f__;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	20.57	4	0.3918881294173996	N/A
CCGPMC025c_JNA_AS_CCGP02_S252_L002_R.bin.12	Unclassified Archaea	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (2.2%)
CCGPMC025c_JNA_AS_CCGP02_S252_L002_R.bin.5	Unclassified Archaea	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (1.4%)
CCGPMC025c_JNA_AS_CCGP03_S251_L002_R.bin.12	Unclassified Archaea	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (0.4%)
CCGPMC025c_JNA_AS_CCGP03_S251_L002_R.bin.6	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__;f__;g__;s__	taxonomic novelty determined using RED	N/A	N/A	22.5	4	0.42781705435879275	N/A
CCGPMC025c_JNA_AS_CCGP04_S250_L002_R.bin.11	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__;f__;g__;s__	taxonomic novelty determined using RED	N/A	N/A	18.92	4	0.4253686176557484	N/A
CCGPMC025c_JNA_AS_CCGP04_S250_L002_R.bin.2	Unclassified Archaea	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (5.1%)
CCGPMC025c_JNA_AS_CCGP04_S250_L002_R.bin.3	Unclassified Archaea	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (0.3%)
CCGPMC025c_JNA_AS_CCGP04_S250_L002_R.bin.4	Unclassified Archaea	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (1.4%)
CCGPMC025c_JNA_AS_CCGP05_S249_L002_R.bin.8	d__Archaea;p__Thermoproteota;c__Korarchaeia;o__;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Thermoproteota;c__Korarchaeia;o__;f__;g__;s__	taxonomic novelty determined using RED	N/A	N/A	18.26	4	0.3422480785747309	Genome domain questionable ( 18.3% Bacterial, 28.3% Archaeal);Genome has more than 11.3% of markers with multiple hits
CCGPMC025c_JNA_AS_CCGP06_S248_L002_R.bin.5	d__Archaea;p__Thermoproteota;c__Korarchaeia;o__;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Thermoproteota;c__Korarchaeia;o__;f__;g__;s__	taxonomic novelty determined using RED	N/A	N/A	17.39	4	0.3256131053811153	Genome domain questionable ( 19.2% Bacterial, 22.6% Archaeal)
CCGPMC025c_JNA_AS_CCGP07_S247_L002_R.bin.1	Unclassified Archaea	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (1.3%)
CCGPMC025c_JNA_AS_CCGP07_S247_L002_R.bin.10	Unclassified Archaea	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (5.7%)
CCGPMC025c_JNA_AS_CCGP07_S247_L002_R.bin.4	Unclassified Archaea	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (0.3%)
CCGPMC025c_JNA_AS_CCGP07_S247_L002_R.bin.9	d__Archaea;p__Asgardarchaeota;c__Wukongarchaeia;o__;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_016840425.1	95.0	d__Archaea;p__Asgardarchaeota;c__Wukongarchaeia;o__Wukongarchaeales;f__Wukongarchaeaceae;g__Wukongarchaeum;s__Wukongarchaeum yapensis	74.5	0.01	d__Archaea;p__Asgardarchaeota;c__;o__;f__;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	20.21	4	0.41540454089475043	N/A
CCGPMC025c_JNA_AS_CCGP08_S246_L002_R.bin.6	Unclassified Archaea	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (0.9%)
